Yes	Sí
No	No
Quit	Salir
Create	Crear
Build	Crear
Camera	Cámara
Viewer	Cámara
Appearance	Aspecto
Clothing	Ropa
Sit Down	Siéntate
Fly	Volar
Land	Aterrizar
Gesture	Haz gestos
Gestures	Gestos
Map	Mapa
Chat	Chatear
Sit Here	Siéntate aquí
Stand Up	Párate
Go Here	Ven aquí
Go To	Ven aquí
Create	Crea
Edit	Cambia
Wear	Ponte
Say	Dilo
Body Parts	Partes del cuerpo
Shape	Forma
Skin	Piel
Hair	Cabello
Eyes	Ojos
Clothes	Ropa
Shirt	Camisa
Pants	Pantalones
Skirt	Falda
Male	Varón
Female	Hembra
Body	Cuerpo
Head	Cabeza
Eyes	Ojos
Nose	Nariz
Mouth	Boca
Skin Color	Color de la piel
Hair Color	Color del cabello
Eye Color	Color de los ojos
Style	Peinado
Eyebrows	Cejas
Facial	Vello facial
Torso	Tronco
Legs	Piernas
Squash Head	Menos
Stretch Head	Más
Full Hair Sides	Cabello a los lados
Mowhawk	Corto
Full Sides	Largo
Shear Front	Cabello en la frente
Full Front	Voluminoso
Sheared Front	Calvo
Rumpled Hair	Rizado del cabello
Smooth Hair	Lacio
Pigtails	Coletas
Short Pigtails	Cortas
Long Pigtails	Largas
Sideburns	Patillas
Short Sideburns	Cortas
Mutton Chops	Largas
Nose Thickness	Grosor de la nariz
Bulbous Nose	Gruesa
Thin Nose	Delgada
Spiked Hair	Pelos parados
Big Spikes	Muy parados
No Spikes	No parados
Eyebrow Size	Tamaño de las cejas
Thin Eyebrows	Delgadas
Bushy Eyebrows	Pobladas
Moustache	Bigote
Chaplin	Tipo Chaplin
Handlebars	Ancho
Soulpatch	Punta de la barba
More Soul	Más
Less Soul	Menos
Chin Curtains	Lado de la barba
More Curtains	Más barbudo
Less Curtains	Más lampiño
Type to chat:	Escribir para chatear:
Texture	Pintura
Shoulders	Hombros
Broad	Anchos
Take Off	Quitar
Delete	Borrar
Focus	Enfocar
Position	Colocar
Rotate	Rotar
Stretch	Estirar
Paint	Pintura
Transparency	Transparencia
Repeats Per Meter	Repeticiones por metro
Rotation	Rotación
Degrees	Grados
Apply	Aplicar
Close	Cerrar
Fabric	Tela
Trigger	Gatillo
Name	Nombre
Play	Empezar
All White	Puras canas
Beard Side	Lado de la barba
Beard Tip	Punta de la barba
Big Eyes	Grandes
Big Head	Grande
Black	Negro
Blonde Hair	Cabello rubio
Blonde	Rubio
Body Fat	Grasa corporal
Body Thickness	Contextura
Bulging	Saltones
Chin Heavy	Barbilla gruesa
Close Set Eyes	Ojos cercanos
Collar	Cuello
Collar Front	Cuello
Color	Color
Color/Tint	Color
Corner Down	Rabillo hacia abajo
Corner Up	Rabillo hacia arriba
Cuff Flare	Ancho de los pantalones
Dark	Oscura
Darker	Más oscuros
Egg Head	Forma de huevo
Eye Color	Color de ojos
Eye Depth	Profundidad de los ojos
Eye Lightness	Claridad de los ojos
Eye Opening	Abertura de los ojos
Eye Size	Tamaño de los ojos
Eye Spacing	Separación de los ojos
Eyebrow Height	Altura de las cejas
Far Set Eyes	Ojos espaciados
Flared Cuffs	Acampanados
Forehead Heavy	Frente amplia
Hair Back	Cabello en la parte posterior
Hair Volume	Volumen del cabello
Head Shape	Forma de la cabeza
Head Size	Tamaño de la cabeza
Head Stretch	Estiramiento de la cabeza
Height	Estatura
High	Alto
Higher	Más altas
Inner Eye Corner	Rabillo interior
Large	Grande
Leg Muscles	Músculos de las piernas
Less Body Fat	Menos grasa
Less Full	Menos carnosos
Less Muscular	Menos musculares
Less Volume	Menos volumen
Less	Menos
Light	Clara
Lighter	Más claros
Lip Fullness	Grosor de los labios
Lip Ratio	Relación entre los labios
Lip Width	Ancho de los labios
Long	Largo
Loose	Suelta
Loose Shirt	Suelta
Loose Sleeves	Suelta
Loose Pants	Sueltos
Low	Bajo
Lower Cheeks	Mejillas
Lower	Más bajas
More Body Fat	Más grasa
More Full	Más carnosos
More Lower Lip	Más labio inferior
More Muscular	Más musculares
More Round	Más redonda
More Square	Más cuadrada
More Upper Lip	Más labio superior
More Volume	Más volumen
More	Más
Mouth Position	Posición de la boca
Narrow	Angosta
Narrow Lips	Angostos
Natural	Natural
No Red	Sin tonos rojizos
No White	Sin canas
None	Ninguno
Nose Size	Tamaño de la nariz
Nose Width	Ancho de la nariz
Outer Eye Corner	Rabillo exterior
Pale	Pálida
Pants Fit	Ajuste de los pantalones
Pants Length	Largo de los pantalones
Pigment	Pigmentación
Rainbow Color	Color de arco iris
Red Hair	Cabello rojizo
Ruddiness	Tez
Ruddy	Rubicunda
Rumpled	Rizado
Shirt Fit	Ajuste de la camisa
Short	Corto
Sideburns	Patillas
Skirt Fit	Ajuste de la falda
Skirt Length	Largo de la falda
Sleeve Length	Largo de la manga
Sleeve Looseness	Holgura de la manga
Small Eyes	Pequeños
Small Head	Pequeña
Small	Pequeña
Smooth	Lacio
Sunken	Hundidos
Tall	Alta
Thick	Gruesa
Body Thick	Gruesa
Body Thin	Delgada
Tight	Apretada
Tight Pants	Apretados
Tight Shirt	Apretada
Tight Sleeves	Apretada
Tight Cuffs	Estrechos
Torso Muscles	Músculos del tronco
Unnatural	No natural
Very Red	Muy pelirrojo
Well-Fed	Regordetas
White Hair	Canas
Wide	Ancho
Wide Lips	Anchos
Wild	Salvaje
